listing_id,City,n_chars,n_reviews_concatenated
10115137,New York,66541,248
1011541356858365882,Los Angeles,10394,45
1011556600731032844,Los Angeles,10065,34
1011600083130326077,Hawaii,12994,46
1011639553969935697,Los Angeles,9967,36
1011670498931199132,Los Angeles,5237,24
1011701666760306143,Nashville,7333,40
1011727466553988588,San Francisco,7367,33
1011784391057259025,Los Angeles,325,2
1011794187075020099,Los Angeles,2093,10
1011970016827635377,Hawaii,7524,26
10119740,Los Angeles,702,6
1012022469329719786,Hawaii,20404,88
10122089,Los Angeles,344,1
10122309,Los Angeles,15491,62
1012289356920555730,New York,2252,5
1012296709681648663,Los Angeles,4034,15
10123236,Los Angeles,107419,514
1012327024933496398,Nashville,17487,66
1012337632157511148,New York,13991,54
1012345351818089240,New York,3595,16
1012345994778055058,Nashville,14873,57
1012360,Hawaii,18695,46
1012365983438911613,Nashville,21932,117
1012367454191261849,Los Angeles,26529,129
1012374492150655122,San Francisco,10303,35
1012402188594012680,New York,840,1
1012431138693942767,Los Angeles,16114,62
1012445098950114236,Hawaii,18567,60
1012454,Los Angeles,27530,94
1012463755403747926,Los Angeles,11005,41
1012539363254040316,Hawaii,9675,38
1012592099190411836,Los Angeles,44,1
1012610921280338920,New York,17269,58
10126146,San Francisco,6869,19
1012617670691504313,Los Angeles,5007,28
1012665837612392931,Los Angeles,12412,60
1012721669773402973,Hawaii,17509,60
1012933371188448209,New York,231,1
1012988420019348258,New York,16443,44
1013046469823647868,Nashville,870,3
1013051415498807774,Hawaii,115,1
10130714,Los Angeles,11690,39
1013119828497618127,Hawaii,10500,39
1013126854297515145,New York,4577,25
1013135014949582991,Los Angeles,9429,62
1013221164777298785,Los Angeles,11399,59
1013222317195128955,Los Angeles,176,1
1013231840591332182,Hawaii,15892,58
1013232860231909017,Hawaii,12597,53
1013232880077053201,Hawaii,7313,40
1013246124175976284,Hawaii,7093,33
1013247179958066124,Hawaii,13176,51
1013247200404474208,Hawaii,17396,64
1013247222951195182,Hawaii,10617,44
1013284763537991684,Hawaii,26037,100
1013306914187436452,Hawaii,718,4
1013320907450515752,New York,2862,6
